TwitterIDsOfHumanUsers,#Friends,#BotFollowees
354796858,188,11
1220305290,265,11
496651835,180,11
354818247,67,11
620191805,209,11
356580095,176,11
63822625,116,11
739043384,181,10
1021811083,48,10
103304208,90,10
105496654,224,10
1056650594,285,10
1096575422,149,10
1133943835,118,10
120082878,138,10
124327640,229,10
1270220785,274,10
132888488,147,10
134526134,150,10
149245813,331,10
1523642533,147,10
1534616766,121,10
1862083502,304,10
202425971,318,10
209262106,288,10
220467586,182,10
2204845260,108,10
2257926470,218,10
232164623,365,10
2331545711,277,10
2353354449,248,10
2356733935,241,10
23748269,327,10
2381167620,357,10
242746743,238,10
253191835,289,10
2540542206,226,10
2572457298,53,10
26261259,79,10
265123754,327,10
2756014000,323,10
27570114,290,10
28605490,296,10
2903346739,205,10
2938551012,122,10
2995201671,123,10
300838107,106,10
31338179,190,10
317005888,339,10
343120924,177,10
346866777,271,10
348430064,142,10
362993719,196,10
37186955,99,10
392247237,163,10
397534181,151,10
401502696,232,10
406814679,102,10
406962616,260,10
408466988,77,10
417280214,203,10
432377556,207,10
43289403,325,10
442075220,131,10
462251578,274,10
474316605,178,10
493919122,290,10
495731957,229,10
562035970,254,10
568955495,178,10
571771309,137,10
572143356,273,10
587931107,213,10
592043234,369,10
613744186,169,10
61513445,288,10
632239930,262,10
635818294,258,10
68940614,221,10
69124342,335,10
69379288,46,10
78967328,223,10
82741018,260,10
881425310,251,10
887636821,246,10
96454595,87,10
970920062,241,10
2391773533,352,10
2398376146,288,10
259773527,185,10
339444631,143,10
365383515,219,10
375299270,151,10
396796142,300,10
405135128,272,10
46961288,341,10
492649414,239,10
493462829,330,10
504803459,134,10
566374197,144,10
578904059,249,10
586584556,125,10
64174539,295,10
750002538,306,10
835763546,154,10
9272142,283,10
255310143,253,9
233032914,220,9
87654715,111,9
2669223349,228,9
63372653,334,9
83390456,104,9
126967628,241,9
248827763,283,9
417807946,30,9
753906162,364,9
418584043,95,9
473417503,259,9
422807985,196,9
1292623788,282,9
3061140416,57,9
2886020913,167,9
531212295,72,9
53114456,136,9
2923624055,171,9
296118251,87,9
340364061,383,9
27241975,162,9
1168487113,209,9
243819894,181,9
29510629,374,9
445913056,276,9
442079113,306,9
425380217,298,9
938775151,89,9
425209420,253,9
2769935615,162,9
44358439,47,9
44526814,171,9
134978414,227,9
2844231958,357,9
3020965143,93,9
1403557327,197,9
791830218,47,9
1450717308,87,9
1456643797,68,9
3016254728,159,9
300996358,276,9
325551297,79,9
1487214566,291,9
595387862,255,9
332214689,86,9
104213670,144,9
1561409924,262,9
161612145,180,9
300442252,185,9
1233652698,268,9
169035705,143,9
541711129,279,9
84302853,87,9
540416380,188,9
